"","X","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"719",719,"10.1177/01461672221128113","Two-sided messages promote openness for a variety of deeply entrenched attitudes","twosided messages promote openness for a variety o",1,"M Xu, RE Petty",2022,"Personality and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221128113","https://scholar.google.com/scholar?cites=9878708006103802886&as_sdt=2005&sciodt=0,5&hl=en",78,FALSE,NA,1,1,1,2,1,"Prior research showed that people holding attitudes on relatively moral topics became more open to two-rather than one-sided messages as the moral basis of their attitudes increased …","https://richardepetty.com/wp-content/uploads/2022/10/2022-PSPB-Xu-Petty-Deeply-entrenched-attitudes-online-first.pdf","https://scholar.google.com/scholar?q=related:BuSfh5c4GIkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"720",720,"10.1177/01461672221128114","More Than Meets the Eyes: Bringing Attention to the Eyes Increases First Impressions of Warmth and Competence","more than meets the eyes bringing attention to the",1,"MD Stosic, S Helwig, MA Ruben",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221128114","https://scholar.google.com/scholar?cites=221594862714637903&as_sdt=2005&sciodt=0,5&hl=en",119,FALSE,NA,1,1,0,3,1,"The present research examined how face masks alter first impressions of warmth and competence for different racial groups. Participants were randomly assigned to view …",NA,"https://scholar.google.com/scholar?q=related:T04ohFpDEwMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"721",721,"10.1177/01461672221129757","The two routes of collective psychological ownership: Rights and responsibilities explain intentions to exclude outsiders and engage in stewardship behavior","the two routes of collective psychological ownersh",9,"T Nijs, B Martinovic…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221129757","https://scholar.google.com/scholar?cites=15265559913769924197&as_sdt=2005&sciodt=0,5&hl=en",21,FALSE,NA,9,9,3,3,1,"People can have a sense of collective ownership of a particular territory, such as “our” country,“our” neighborhood, and “our” park. Collective psychological ownership is argued to …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221129757","https://scholar.google.com/scholar?q=related:Zfayddwp2tMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"722",722,"10.1177/01461672221130595","Is your accent right for the job? A meta-analysis on accent bias in hiring decisions","is your accent right for the job a metaanalysis on",5,"JL Spence, MJ Hornsey…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221130595","https://scholar.google.com/scholar?cites=3766302245587628684&as_sdt=2005&sciodt=0,5&hl=en",32,FALSE,NA,5,5,2,3,1,"Standard-accented job candidates are perceived as more hireable than non-standard-accented candidates. Two broad perspectives have emerged as to what drives this effect:(a) …",NA,"https://scholar.google.com/scholar?q=related:jLIBCfCXRDQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"723",723,"10.1177/01461672221131378","Deviancy Aversion and Social Norms","deviancy aversion and social norms",0,"A Gollwitzer, C Martel, A Heinecke…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221131378",NA,124,FALSE,NA,0,0,0,4,1,"We propose that deviancy aversion—people's domain-general discomfort toward the distortion of patterns (repeated forms or models)—contributes to the strength and prevalence …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221131378","https://scholar.google.com/scholar?q=related:CMjxL-JImfgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"724",724,"10.1177/01461672221133693","Psychometric evaluation of single-item relationship satisfaction, love, conflict, and commitment measures","psychometric evaluation of singleitem relationship",3,"S Niehuis, K Davis, A Reifman…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221133693","https://scholar.google.com/scholar?cites=7239636243653094820&as_sdt=2005&sciodt=0,5&hl=en",87,FALSE,NA,3,3,1,4,1,"Issues in applied survey research, including minimizing respondent burden and ensuring measures' brevity for smartphone administration, have intensified efforts to create short …",NA,"https://scholar.google.com/scholar?q=related:pG38bc5aeGQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"725",725,"10.1177/01461672221135954","How much is enough? The relationship between prosocial effort and moral character judgments","how much is enough the relationship between prosoc",2,"Z Berry, BJ Lucas",2022,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221135954","https://scholar.google.com/scholar?cites=11624846117336671702&as_sdt=2005&sciodt=0,5&hl=en",81,FALSE,NA,2,2,1,2,1,"The amount of effort required to bring about a prosocial outcome can vary from low—handing a stranger the wallet she just dropped—to high—spending days tracking down the …","https://www.brianjlucas.com/uploads/1/8/5/6/18565392/berry_lucas_2023_postprint.pdf","https://scholar.google.com/scholar?q=related:1mVu4PO_U6EJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"726",726,"10.1177/01461672221135955","The Role of Accurate Self-Assessments in Optimizing Mate Choice","the role of accurate selfassessments in optimizing",2,"KT Harper, F Stanley, MJ Sidari…",2021,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221135955","https://scholar.google.com/scholar?cites=15131741821457201083&as_sdt=2005&sciodt=0,5&hl=en",110,FALSE,NA,2,1,1,4,2,"Individuals are thought to seek the best possible romantic partner in exchange for their own desirability. We investigated whether individuals' self-evaluations were related to their …","https://psyarxiv.com/4qmuv/download?format=pdf","https://scholar.google.com/scholar?q=related:u_fg5AO__tEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"727",727,"10.1177/01461672221135956","Does religious priming induce greater prejudice? A meta-analytic review","does religious priming induce greater prejudice a ",2,"A Snell, M Zuckerman, BM Le",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221135956","https://scholar.google.com/scholar?cites=10341824892126961036&as_sdt=2005&sciodt=0,5&hl=en",69,FALSE,NA,2,2,1,3,1,"The current meta-analysis addressed whether theistic religious beliefs are causally related to greater prejudice by analyzing 44 studies (N total= 11,330) that used experimental …","https://labsites.rochester.edu/lelab/wp-content/uploads/2022/12/Snell-Zuckerman-Le-2022-Does-religious-priming-induce-greater-prejudice-A-meta-analytic-review.pdf","https://scholar.google.com/scholar?q=related:jB2FMPKKhY8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"728",728,"10.1177/01461672221137201","What Underlies the Opposition to Trans-Inclusive Policies? The Role of Concerns About Male Violence Versus Attitudes Toward Trans People","what underlies the opposition to transinclusive po",1,"T Morgenroth, JR Axt…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221137201","https://scholar.google.com/scholar?cites=11685897665171083892&as_sdt=2005&sciodt=0,5&hl=en",76,FALSE,NA,1,1,0,3,1,"Transgender women's access to women-only spaces is controversial. Arguments against trans-inclusive policies often focus on cisgender women's safety from male violence, despite …","https://www.miclab.ca/s/what-underlies-opposition-to-transinclusive-policies.pdf","https://scholar.google.com/scholar?q=related:dNIWDgOmLKIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"729",729,"10.1177/01461672221139071","Beliefs That White People Are Poor, Above and Beyond Beliefs That Black People Are Poor, Predict White (But Not Black) Americans' Attitudes Toward Welfare …","beliefs that white people are poor above and beyon",0,"E Cooley, JL Brown-Iannuzzi, RF Lei…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221139071",NA,128,FALSE,NA,0,0,0,4,1,"In past work, White Americans' beliefs about Black poverty have predicted lower perceived work ethic of the poor, and, thus, less welfare support. In this article, we examine whether …",NA,"https://scholar.google.com/scholar?q=related:pyjHVe5_8cwJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"730",730,"10.1177/01461672221139072","From individual anxiety to collective narcissism? Adult attachment styles and different types of national commitment","from individual anxiety to collective narcissism a",8,"M Marchlewska, P Górska, R Green…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221139072","https://scholar.google.com/scholar?cites=885602166544221109&as_sdt=2005&sciodt=0,5&hl=en",39,FALSE,NA,8,8,2,4,1,"National narcissism and national identification, two distinct types of national commitment, differ in terms of their psychological concomitants. Therefore, in the current article, we …",NA,"https://scholar.google.com/scholar?q=related:tUMvdXpKSgwJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"731",731,"10.1177/01461672221139083","Home is Where the Heart is: Implications of Dyadic Acculturation for Migrant Couples' Personal and Relational Well-Being","home is where the heart is implications of dyadic ",0,"Q Sun, N Geeraert…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221139083",NA,120,FALSE,NA,0,0,0,3,1,"Acculturation—the process through which people adopt the sociocultural values of their heritage and settlement cultures—is a complex experience, particularly within family …","https://repository.essex.ac.uk/33901/1/221022msPSPB.pdf","https://scholar.google.com/scholar?q=related:aA4WVw8epugJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"732",732,"10.1177/01461672221139086","Stigma toward consensual non-monogamy: Thematic analysis and minority stress","stigma toward consensual nonmonogamy thematic anal",5,"EA Mahar, LH Irving, A Derovanesian…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221139086","https://scholar.google.com/scholar?cites=15269873567318712434&as_sdt=2005&sciodt=0,5&hl=en",42,FALSE,NA,5,5,1,4,1,"Consensually non-monogamous (CNM) romantic and sexual relationships tend to be stigmatized. The present research examined this stigma across two studies. First, we …",NA,"https://scholar.google.com/scholar?q=related:cqAoMRt96dMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"733",733,"10.1177/01461672221140269","Similarity among friends serves as a social prior: the assumption that “birds of a feather flock together” shapes social decisions and relationship beliefs","similarity among friends serves as a social prior ",4,"ME Schwyck, M Du, Y Li, LJ Chang…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221140269","https://scholar.google.com/scholar?cites=10577951502233391347&as_sdt=2005&sciodt=0,5&hl=en",104,FALSE,NA,4,4,1,5,1,"Social interactions unfold within networks of relationships. How do beliefs about others' social ties shape—and how are they shaped by—expectations about how others will …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221140269","https://scholar.google.com/scholar?q=related:81DuzdhuzJIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"734",734,"10.1177/01461672221140355","Greed: What Is It Good for?","greed what is it good for",3,"K Hoyer, M Zeelenberg…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221140355","https://scholar.google.com/scholar?cites=16355531991087633982&as_sdt=2005&sciodt=0,5&hl=en",47,FALSE,NA,3,3,1,3,1,"What is greed good for? Greed is ubiquitous, suggesting that it must have some benefits, but it is also often condemned. In a representative sample of the Dutch population (N= 2,367 …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221140355","https://scholar.google.com/scholar?q=related:PtZQybCF-uIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"735",735,"10.1177/01461672221141509","It's (a) Shame: Why Poverty Leads to Support for Authoritarianism","its a shame why poverty leads to support for autho",2,"J Neerdaels, C Tröster…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221141509","https://scholar.google.com/scholar?cites=13800052223821626102&as_sdt=2005&sciodt=0,5&hl=en",127,FALSE,NA,2,2,1,3,1,"The literature has widely discussed and supported the relationship between poverty and support for authoritarian leaders and regimes. However, there are different claims about the …","https://www.researchgate.net/profile/Jasper-Neerdaels/publication/366644029_It's_a_Shame_Why_Poverty_Leads_to_Support_for_Authoritarianism/links/63b47633a03100368a4e0cab/Its-a-Shame-Why-Poverty-Leads-to-Support-for-Authoritarianism.pdf","https://scholar.google.com/scholar?q=related:9jq6umGig78J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"736",736,"10.1177/01461672221142181","The Spontaneous Counterfactual Inference Task: Misremembering What Might Have Been","the spontaneous counterfactual inference task misr",0,"R Smallman, A Summerville…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221142181",NA,133,FALSE,NA,0,0,0,3,1,"Counterfactuals, thoughts about “what might have been,” play an important role in causal judgment, emotion, and motivation, and spontaneously arise during daily life. However …",NA,"https://scholar.google.com/scholar?q=related:eLCqqqpTkjsJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"737",737,"10.1177/01461672221143756","Looking the Part: Stereotypicality in Appearance Among White Professionals Predicts Leadership Attainment and Perceived Leadership Suitability","looking the part stereotypicality in appearance am",1,"MJ Williams, JB Wade, T Nwadei…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221143756","https://scholar.google.com/scholar?cites=7653277245231481075&as_sdt=2005&sciodt=0,5&hl=en",70,FALSE,NA,1,1,0,4,1,"This project explores the effects of racial phenotypic stereotypicality, or the degree to which a person's appearance is perceived as typical of their racial group, on leadership outcomes …",NA,"https://scholar.google.com/scholar?q=related:80CaERvnNWoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"738",738,"10.1177/01461672221143839","Is men's heterosexuality perceived as more precarious than women's? An intersectional, race-by-gender analysis","is mens heterosexuality perceived as more precario",2,"CD Petsko, S Vogler",2021,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221143839","https://scholar.google.com/scholar?cites=17232525214639076976&as_sdt=2005&sciodt=0,5&hl=en",101,FALSE,NA,2,1,1,2,2,"People perceive men's masculinity to be more precarious, or easier to lose, than women's femininity. In the present article, we investigated (a) whether men's heterosexuality is …","https://www.christopherpetsko.com/uploads/1/2/5/8/125868532/petsko___vogler_2023.pdf","https://scholar.google.com/scholar?q=related:cDaGgWE6Ju8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"739",739,"10.1177/01461672221150229","A Comparative Investigation of the Predictive Validity of Four Indirect Measures of Bias and Prejudice","a comparative investigation of the predictive vali",0,"J Axt, N Buttrick, RY Feng",2022,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221150229",NA,121,FALSE,NA,0,0,0,3,1,"Although measures of implicit associations are influential in the prejudice literature, comparative tests of the predictive power of these measures are lacking. A large-scale (N> …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221150229","https://scholar.google.com/scholar?q=related:78uJ7ayU-eEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"740",740,"10.1177/01461672231153680","Difficulty-as-improvement: The courage to keep going in the face of life's difficulties","difficultyasimprovement the courage to keep going ",3,"VX Yan, D Oyserman, G Kiper…",2021,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672231153680","https://scholar.google.com/scholar?cites=8381575805535958427&as_sdt=2005&sciodt=0,5&hl=en",83,FALSE,NA,3,1.5,1,4,2,"When a task or goal is hard to think about or do, people can infer that it is a waste of their time (difficulty-as-impossibility) or valuable to them (difficulty-as-importance). Separate from …","https://dornsife.usc.edu/assets/sites/782/docs/Difficulty_as_improvement_The_courage_to_keep_going_Yan_Oyserman_et_al_PSPB_2023.pdf","https://scholar.google.com/scholar?q=related:m7X6oslWUXQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"741",741,"10.1177/01461672231169105","Psychopathic Traits and Utilitarian Moral Judgment Revisited","psychopathic traits and utilitarian moral judgment",1,"M Paruzel-Czachura, Z Farny",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672231169105","https://scholar.google.com/scholar?cites=12529550965840378100&as_sdt=2005&sciodt=0,5&hl=en",159,FALSE,NA,1,1,1,2,1,"To provide deeper insights into the relationships between psychopathic traits and utilitarian moral judgment, we studied N= 702 adults using three psychopathy scales:(a) the …","https://psyarxiv.com/wzfd9/download?format=pdf","https://scholar.google.com/scholar?q=related:9HgREjjo4a0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"742",742,"10.1177/01461672231185639","The “partial innocence” effect: False guilty pleas to partially unethical behaviors","the partial innocence effect false guilty pleas to",1,"SA Cardenas, PY Sanchez…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672231185639","https://scholar.google.com/scholar?cites=6979421619550374536&as_sdt=2005&sciodt=0,5&hl=en",135,FALSE,NA,1,1,0,3,1,"Although research has focused on the “innocence problem,”“partial innocence” may also plague individuals who plead guilty to crimes they did not commit, but that are either …","https://psyarxiv.com/nr5bv/download?format=pdf","https://scholar.google.com/scholar?q=related:iEr7Avzi22AJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"743",743,"10.1177/01461672231191360","The best-case heuristic: Relative optimism in relationships, politics, and a global health pandemic","the bestcase heuristic relative optimism in relati",2,"H Sjåstad, J Van Bavel",2020,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672231191360","https://scholar.google.com/scholar?cites=13915289869169514772&as_sdt=2005&sciodt=0,5&hl=en",115,FALSE,NA,2,0.67,1,2,3,"In four experiments covering three different life domains, participants made future predictions in what they considered the most realistic scenario, an optimistic best-case …","https://psyarxiv.com/pcj4f/download?format=pdf","https://scholar.google.com/scholar?q=related:FNlw3mgKHcEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"744",744,"MISSING_DOI_abdelal rherrera ymjohnston aimcdermott r2009a int","Abdelal, R./Herrera, YM/Johnston, AI/McDermott, R.(2009a): Introduction. In: Abdelal, R./Herrera, YM/Johnston, AI/McDermott, R.(Hrsg.): Measuring …","abdelal rherrera ymjohnston aimcdermott r2009a int",0,"A Ahrens, B Schwotzer, HJ Weiß, M Konzeption",2022,"Personality and Social Psychology Bulletin",NA,NA,NA,171,TRUE,NA,0,0,0,4,-Inf,NA,NA,"https://scholar.google.com/scholar?q=related:GK_iiP6RM78J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"745",745,"MISSING_DOI_are the motivational effects of autonomy universal","Are the motivational effects of autonomy universal? Contrasting results among Indian and American corporate professionals","are the motivational effects of autonomy universal",3,"R Tripathi, D Cervone, K Savani",2018,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=9780293971125780071&as_sdt=2005&sciodt=0,5&hl=en",116,TRUE,NA,3,0.6,1,3,5,NA,NA,"https://scholar.google.com/scholar?q=related:Z77Ya4yVuocJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"746",746,"MISSING_DOI_are you listening to me the negative link between ","Are You Listening to Me? The Negative Link Between Extraversion and Perceived Listening (Mar, 01461672211072815, 2022)","are you listening to me the negative link between ",0,"S Pery, A Kluger, T Malloy",2022,"… AND SOCIAL …","SAGE PUBLICATIONS INC 2455 …",NA,NA,170,TRUE,NA,0,0,0,3,1,NA,NA,"https://scholar.google.com/scholar?q=related:SzkAsWbjRFgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"747",747,"MISSING_DOI_big five traits and inclusive generalized prejudic","Big Five traits and inclusive generalized prejudice","big five traits and inclusive generalized prejudic",6,"J Crawford, MJ Brandt",2018,"Personality and Social Psychology Bulletin","files.osf.io","https://files.osf.io/v1/resources/6vqwk/providers/osfstorage/5a78610a9f6c6e000f972fe6?version=2&displayName=Big+5+ICH-2018-06-30T16:10:26.196Z.pdf&action=download&direct","https://scholar.google.com/scholar?cites=2752659464664237012&as_sdt=2005&sciodt=0,5&hl=en",114,TRUE,NA,6,1.2,3,2,5,"Meta-analyses show that low levels of Openness and Agreeableness correlate with generalized prejudice. However, previous studies used restricted operationalizations of …","https://files.osf.io/v1/resources/6vqwk/providers/osfstorage/5a78610a9f6c6e000f972fe6?version=2&displayName=Big+5+ICH-2018-06-30T16:10:26.196Z.pdf&action=download&direct","https://scholar.google.com/scholar?q=related:1MPt6jJpMyYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"748",748,"MISSING_DOI_cardiovascular and selfregulatory consequences of ","Cardiovascular and Self-Regulatory Consequences of SES-Based Social Identity Threat (Retraction of Vol 45, Pg 700, 2019)","cardiovascular and selfregulatory consequences of ",0,"AJ Flores, TA Chavez, N Bolger, BJ Casad",2021,NA,"SAGE PUBLICATIONS INC 2455 …",NA,NA,117,TRUE,NA,0,0,0,4,2,NA,NA,"https://scholar.google.com/scholar?q=related:XdMD2G81ty8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"749",749,"MISSING_DOI_cg 2017 society for personality and social psychol","cG 2017 Society for Personality and Social Psychology, Inc","cg 2017 society for personality and social psychol",0,"F Mathmann, ET Higgins, M Chylinski, ...",2017,"… Social Psychology Bulletin","core.ac.uk","https://core.ac.uk/download/pdf/89301111.pdf",NA,125,TRUE,NA,0,0,0,4,-Inf,"This research shows that the strength of assessment orientation, defined as the “aspect of self-regulation concerned with critically evaluating entities or states”(Kruglanski et al., 2000 …","https://core.ac.uk/download/pdf/89301111.pdf","https://scholar.google.com/scholar?q=related:u0WYyHWJIKEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"750",750,"MISSING_DOI_comportamiento del cliente heurísticos y sesgos co","Comportamiento del Cliente: Heurísticos y sesgos cognitivos de los","comportamiento del cliente heurísticos y sesgos co",1,"JC González",2017,"Personality and Social Psychology Bulletin","zaguan.unizar.es","https://zaguan.unizar.es/record/64888","https://scholar.google.com/scholar?cites=1512166306135663216&as_sdt=2005&sciodt=0,5&hl=en",127,TRUE,NA,1,0.17,1,1,6,"Este es un recorrido por el lado inconsciente del consumidor. Una exploración de los procesos mentales que nos llevan a comportarnos como nos comportamos. Y en la …","https://zaguan.unizar.es/record/64888/files/TAZ-TFG-2017-3917.pdf","https://scholar.google.com/scholar?q=related:cOKHXj5L_BQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"751",751,"MISSING_DOI_development of childrens selfesteem at the","Development of Children's Self-Esteem at the","development of childrens selfesteem at the",0,"M Oie, T Fujii",2019,"Personality and Social Psychology Bulletin","scholar.archive.org","https://scholar.archive.org/work/m2hrnanlcjcbvn4thcm76e766a/access/wayback/http://hermes-ir.lib.hit-u.ac.jp/rs/bitstream/10086/28455/4/jinbun0001100200.pdf",NA,122,TRUE,NA,0,0,0,2,-Inf,"Self-esteem is a fundamental part of a child's psychological function. Teacher approval, peer approval, and physical appearance have been identified as important sources of children's …","https://scholar.archive.org/work/m2hrnanlcjcbvn4thcm76e766a/access/wayback/http://hermes-ir.lib.hit-u.ac.jp/rs/bitstream/10086/28455/4/jinbun0001100200.pdf","https://scholar.google.com/scholar?q=related:Re2FOfS88DIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"752",752,"MISSING_DOI_exposure to multiracial faces decreases colorblind","Exposure to multiracial faces decreases colorblind attitudes","exposure to multiracial faces decreases colorblind",2,"SE Gaither, N Toosi, LG Babbitt, SR Sommers",2018,"Personality and Social Psychology …",NA,NA,"https://scholar.google.com/scholar?cites=6002443863988339221&as_sdt=2005&sciodt=0,5&hl=en",119,TRUE,NA,2,0.4,1,4,5,NA,NA,"https://scholar.google.com/scholar?q=related:FYI_WeT2TFMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"753",753,"MISSING_DOI_faces can look more trustworthy but not more compe","Faces Can Look More Trustworthy, But Not More Competent","faces can look more trustworthy but not more compe",2,"J Wood",2018,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=14525798834813395475&as_sdt=2005&sciodt=0,5&hl=en",117,TRUE,NA,2,0.4,2,1,5,NA,NA,"https://scholar.google.com/scholar?q=related:E-LVSxQBlskJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"754",754,"MISSING_DOI_fen lisesi öğrencilerinin sosyoekonomik arkaplanı ","Fen lisesi öğrencilerinin sosyoekonomik arkaplanı ve yükseköğretime geçişteki tercihleri. Yükseköğretim Dergisi, 10 (3), 356–370","fen lisesi öğrencilerinin sosyoekonomik arkaplanı ",5,"HE Suna, BS Gür, S Gelbal, M Özer",2020,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=12152887441984699777&as_sdt=2005&sciodt=0,5&hl=en",121,TRUE,NA,5,1.67,1,4,3,NA,NA,"https://scholar.google.com/scholar?q=related:gb3NXr26p6gJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
